row_type,experiment,stage,key_mode,training_decoder,eval_decoder,training_prior,eval_prior,seeds,prequential_nll_bits,prequential_accuracy_pct,eval_nll_bits,eval_accuracy_pct,eval_macro_f1_pct,eval_brier,eval_ece_15,weighted_target_purity,target_retrieval_mass,energy_margin,recall_at_1,recall_at_4,recall_at_16,mrr,active_atoms,allocated_bytes,run_seconds,comparison,nll_advantage_bits,nll_advantage_ci95,nll_favorable_seeds,accuracy_advantage_pp,accuracy_advantage_ci95,accuracy_favorable_seeds,purity_advantage,target_mass_advantage,margin_advantage,mrr_advantage,protocol_version
model,A,official_test,frozen,legacy_gated_logit,categorical_mixture,empirical,empirical,5,,,2.054234 ± 0.000191,72.811688 ± 0.037019,72.559416 ± 0.039076,0.536451 ± 0.000038,0.354024 ± 0.000374,0.425196 ± 0.000028,0.334828 ± 0.000022,0.214123 ± 0.000000,0.615974 ± 0.000145,0.862403 ± 0.000145,0.959416 ± 0.000000,0.733432 ± 0.000086,4055.000000 ± 0.000000,134204896.000000 ± 0.000000,0.000000 ± 0.000000,,,,,,,,,,,,banking77-mixture-v1-posthoc
model,A,official_test,frozen,legacy_gated_logit,categorical_mixture,empirical,uniform,5,,,2.047654 ± 0.000190,72.811688 ± 0.037019,72.558122 ± 0.039076,0.536384 ± 0.000038,0.354058 ± 0.000374,0.425196 ± 0.000028,0.334828 ± 0.000022,0.214123 ± 0.000000,0.615974 ± 0.000145,0.862403 ± 0.000145,0.959416 ± 0.000000,0.733432 ± 0.000086,4055.000000 ± 0.000000,134204896.000000 ± 0.000000,0.000000 ± 0.000000,,,,,,,,,,,,banking77-mixture-v1-posthoc
model,A,official_test,frozen,legacy_gated_logit,legacy_gated_logit,empirical,empirical,5,5.394230 ± 0.008288,50.278916 ± 0.820838,5.033773 ± 0.009345,66.370130 ± 0.132681,64.778354 ± 0.168097,0.940993 ± 0.000653,,,,,,,,,4055.000000 ± 0.000000,134204896.000000 ± 0.000000,92.121685 ± 2.310397,,,,,,,,,,,,banking77-mixture-v1-posthoc
model,A,official_test,learned,legacy_gated_logit,categorical_mixture,empirical,empirical,5,,,1.718239 ± 0.008923,74.032468 ± 0.472400,73.310590 ± 0.606692,0.458257 ± 0.001018,0.271015 ± 0.008468,0.505065 ± 0.003196,0.421455 ± 0.002224,0.376194 ± 0.059986,0.642338 ± 0.031314,0.868766 ± 0.003322,0.963247 ± 0.001784,0.750843 ± 0.016434,4055.000000 ± 0.000000,134204896.000000 ± 0.000000,0.000000 ± 0.000000,,,,,,,,,,,,banking77-mixture-v1-posthoc
model,A,official_test,learned,legacy_gated_logit,categorical_mixture,empirical,uniform,5,,,1.712860 ± 0.008298,74.032468 ± 0.496339,73.310144 ± 0.628437,0.458135 ± 0.001015,0.271046 ± 0.008525,0.505065 ± 0.003196,0.421455 ± 0.002224,0.376194 ± 0.059986,0.642338 ± 0.031314,0.868766 ± 0.003322,0.963247 ± 0.001784,0.750843 ± 0.016434,4055.000000 ± 0.000000,134204896.000000 ± 0.000000,0.000000 ± 0.000000,,,,,,,,,,,,banking77-mixture-v1-posthoc
model,A,official_test,learned,legacy_gated_logit,legacy_gated_logit,empirical,empirical,5,4.833096 ± 0.010502,51.594522 ± 0.379162,4.029848 ± 0.016762,65.175325 ± 1.111177,63.090983 ± 1.032538,0.841149 ± 0.002539,,,,,,,,,4055.000000 ± 0.000000,134204896.000000 ± 0.000000,124.622700 ± 5.486116,,,,,,,,,,,,banking77-mixture-v1-posthoc
model,B,official_test,frozen,categorical_mixture,categorical_mixture,uniform,empirical,5,2.736264 ± 0.009417,61.245626 ± 0.396340,2.054234 ± 0.000191,72.811688 ± 0.037019,72.559416 ± 0.039076,0.536451 ± 0.000038,0.354024 ± 0.000374,0.425196 ± 0.000028,0.334828 ± 0.000022,0.214123 ± 0.000000,0.615974 ± 0.000145,0.862403 ± 0.000145,0.959416 ± 0.000000,0.733432 ± 0.000086,4055.000000 ± 0.000000,132964066.000000 ± 0.000000,40.211162 ± 1.342786,,,,,,,,,,,,banking77-mixture-v1-posthoc
model,B,official_test,frozen,categorical_mixture,categorical_mixture,uniform,uniform,5,2.736264 ± 0.009417,61.245626 ± 0.396340,2.047654 ± 0.000190,72.811688 ± 0.037019,72.558122 ± 0.039076,0.536384 ± 0.000038,0.354058 ± 0.000374,0.425196 ± 0.000028,0.334828 ± 0.000022,0.214123 ± 0.000000,0.615974 ± 0.000145,0.862403 ± 0.000145,0.959416 ± 0.000000,0.733432 ± 0.000086,4055.000000 ± 0.000000,132964066.000000 ± 0.000000,40.211162 ± 1.342786,,,,,,,,,,,,banking77-mixture-v1-posthoc
model,B,official_test,learned,categorical_mixture,categorical_mixture,uniform,empirical,5,2.228772 ± 0.019603,66.875937 ± 0.348794,1.465295 ± 0.010374,80.577922 ± 0.354476,80.193336 ± 0.435310,0.384152 ± 0.001579,0.286166 ± 0.005231,0.581447 ± 0.000848,0.479563 ± 0.000357,0.697120 ± 0.013753,0.799675 ± 0.006329,0.908831 ± 0.002825,0.966364 ± 0.001845,0.853644 ± 0.004552,4055.000000 ± 0.000000,132964066.000000 ± 0.000000,99.509787 ± 3.170731,,,,,,,,,,,,banking77-mixture-v1-posthoc
model,B,official_test,learned,categorical_mixture,categorical_mixture,uniform,uniform,5,2.228772 ± 0.019603,66.875937 ± 0.348794,1.462509 ± 0.009876,80.590909 ± 0.361106,80.214876 ± 0.425165,0.384062 ± 0.001578,0.286312 ± 0.005317,0.581447 ± 0.000848,0.479563 ± 0.000357,0.697120 ± 0.013753,0.799675 ± 0.006329,0.908831 ± 0.002825,0.966364 ± 0.001845,0.853644 ± 0.004552,4055.000000 ± 0.000000,132964066.000000 ± 0.000000,99.509787 ± 3.170731,,,,,,,,,,,,banking77-mixture-v1-posthoc
