row_type,model,model_label,comparison,left_model,right_model,seeds,prequential_nll_bits,prequential_accuracy_pct,test_nll_bits,test_accuracy_pct,test_macro_f1_pct,test_brier,test_dedup_nll_bits,test_dedup_accuracy_pct,test_dedup_macro_f1_pct,test_dedup_brier,insertion_rate_pct,active_atoms,retained_examples,allocated_bytes,model_mib,run_seconds,prequential_nll_advantage_bits,prequential_nll_advantage_ci95,prequential_nll_favorable_seeds,test_nll_advantage_bits,test_nll_advantage_ci95,test_nll_favorable_seeds,test_accuracy_advantage_pp,test_accuracy_advantage_ci95,test_accuracy_favorable_seeds,protocol_version,official_test_previously_exposed,hyperparameters_provisional
model,shared_learned,Shared-birth learned-key memory,,,,5,4.833096 ± 0.010502,51.594522 ± 0.379162,4.029848 ± 0.016762,65.175325 ± 1.111177,63.090983 ± 1.032538,0.841149 ± 0.002539,4.031242 ± 0.016767,65.060556 ± 1.101462,62.923232 ± 1.030246,0.841170 ± 0.002566,40.537839 ± 0.000000,4055.000000 ± 0.000000,4055.000000 ± 0.000000,134204896.000000 ± 0.000000,127.987762 ± 0.000000,119.098866 ± 12.729939,,,,,,,,,,banking77-v2-posthoc,true,true
model,shared_frozen,Shared-birth frozen-key memory,,,,5,5.394230 ± 0.008288,50.278916 ± 0.820838,5.033773 ± 0.009345,66.370130 ± 0.132681,64.778354 ± 0.168097,0.940993 ± 0.000653,5.035905 ± 0.009298,66.225859 ± 0.133766,64.582019 ± 0.177886,0.941072 ± 0.000651,40.537839 ± 0.000000,4055.000000 ± 0.000000,4055.000000 ± 0.000000,134204896.000000 ± 0.000000,127.987762 ± 0.000000,88.321449 ± 7.397981,,,,,,,,,,banking77-v2-posthoc,true,true
model,natural_learned,Natural-insertion learned-key memory,,,,5,4.884375 ± 0.012602,50.174948 ± 0.654670,4.132919 ± 0.029012,60.220779 ± 1.320116,57.117537 ± 1.589136,0.856468 ± 0.004757,4.133872 ± 0.029188,60.117840 ± 1.278189,56.995822 ± 1.519627,0.856495 ± 0.004784,17.532740 ± 0.443905,1753.800000 ± 44.403829,1753.800000 ± 44.403829,134204896.000000 ± 0.000000,127.987762 ± 0.000000,76.543028 ± 8.322831,,,,,,,,,,banking77-v2-posthoc,true,true
model,natural_frozen,Natural-insertion frozen-key memory,,,,5,5.412050 ± 0.006602,52.252324 ± 0.995026,5.129791 ± 0.013609,65.610390 ± 0.901054,63.754187 ± 1.257267,0.948812 ± 0.000528,5.131903 ± 0.013642,65.453355 ± 0.918457,63.608953 ± 1.276857,0.948894 ± 0.000535,32.130361 ± 0.396366,3214.000000 ± 39.648455,3214.000000 ± 39.648455,134204896.000000 ± 0.000000,127.987762 ± 0.000000,78.571356 ± 8.333485,,,,,,,,,,banking77-v2-posthoc,true,true
model,knn,Exact same-energy kNN,,,,5,2.205859 ± 0.008311,69.753074 ± 0.249084,1.624085 ± 0.000786,79.103896 ± 0.017783,79.220459 ± 0.017934,0.423962 ± 0.000067,1.631479 ± 0.000791,78.932897 ± 0.017929,79.051835 ± 0.018037,0.425893 ± 0.000068,,0.000000 ± 0.000000,10003.000000 ± 0.000000,82045222.000000 ± 0.000000,78.244421 ± 0.000000,36.902847 ± 2.740705,,,,,,,,,,banking77-v2-posthoc,true,true
model,linear,Online linear,,,,5,1.184064 ± 0.003064,79.778067 ± 0.187880,0.626005 ± 0.014207,88.409091 ± 0.382097,88.482497 ± 0.387801,0.176253 ± 0.004640,0.630206 ± 0.014199,88.327332 ± 0.387719,88.395380 ± 0.394784,0.177435 ± 0.004637,,0.000000 ± 0.000000,0.000000 ± 0.000000,2523444.000000 ± 0.000000,2.406544 ± 0.000000,3.165925 ± 0.359934,,,,,,,,,,banking77-v2-posthoc,true,true
comparison,,,shared_keys,shared_learned,shared_frozen,5,,,,,,,,,,,,,,,,,0.561134,"[0.543898, 0.578369]",5,1.003925,"[0.983797, 1.024052]",5,-1.194805,"[-2.538133, 0.148523]",1,banking77-v2-posthoc,true,true
comparison,,,natural_keys,natural_learned,natural_frozen,5,,,,,,,,,,,,,,,,,0.527675,"[0.512799, 0.542552]",5,0.996873,"[0.954793, 1.038952]",5,-5.389610,"[-7.642857, -3.136364]",0,banking77-v2-posthoc,true,true
comparison,,,natural_vs_knn,natural_learned,knn,5,,,,,,,,,,,,,,,,,-2.678516,"[-2.699238, -2.657795]",0,-2.508834,"[-2.544267, -2.473401]",0,-18.883117,"[-20.521052, -17.245182]",0,banking77-v2-posthoc,true,true
comparison,,,natural_vs_linear,natural_learned,linear,5,,,,,,,,,,,,,,,,,-3.700311,"[-3.719128, -3.681494]",0,-3.506914,"[-3.556972, -3.456856]",0,-28.188312,"[-29.821479, -26.555145]",0,banking77-v2-posthoc,true,true
